,Order Date,Year,Quarter,Ship Date,Ship Mode,Segment,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
6329,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Westland,Michigan,Central,Office Supplies,Appliances,247.716,4,0.1,93.5816
1121,20-01-2014,2014,1,26-01-2014,Standard Class,Consumer,Jonesboro,Arkansas,South,Technology,Phones,699.93,7,0,181.9818
9989,21-01-2014,2014,1,23-01-2014,Second Class,Consumer,Miami,Florida,South,Furniture,Furnishings,25.248,3,0.2,4.1028
9886,23-01-2014,2014,1,27-01-2014,Standard Class,Consumer,Lafayette,Indiana,Central,Office Supplies,Fasteners,5.94,3,0,0
9155,23-01-2014,2014,1,28-01-2014,Standard Class,Consumer,Las Vegas,Nevada,West,Office Supplies,Paper,40.08,6,0,19.2384
2581,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,16.68,2,0,8.34
8150,26-01-2014,2014,1,29-01-2014,First Class,Corporate,Rapid City,South Dakota,Central,Furniture,Bookcases,141.96,2,0,39.7488
2584,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Technology,Phones,187.98,2,0,52.6344
2583,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,12.42,3,0,4.4712
2582,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Technology,Phones,155.35,13,0,0
2580,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Paper,19.44,3,0,9.3312
2579,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Office Supplies,Storage,489.92,8,0,0
2578,26-01-2014,2014,1,31-01-2014,Standard Class,Home Office,Alexandria,Virginia,South,Furniture,Furnishings,62.82,3,0,30.7818
8149,26-01-2014,2014,1,29-01-2014,First Class,Corporate,Rapid City,South Dakota,Central,Office Supplies,Binders,10.68,2,0,5.0196
3794,27-01-2014,2014,1,02-02-2014,Standard Class,Consumer,San Diego,California,West,Office Supplies,Storage,57.23,1,0,14.3075
3796,27-01-2014,2014,1,02-02-2014,Standard Class,Consumer,San Diego,California,West,Office Supplies,Art,36.44,4,0,12.0252
3795,27-01-2014,2014,1,02-02-2014,Standard Class,Consumer,San Diego,California,West,Furniture,Tables,333,3,0.2,-16.65
3083,28-01-2014,2014,1,03-02-2014,Standard Class,Consumer,New York City,New York,East,Office Supplies,Binders,3.928,1,0.2,1.3257
6388,30-01-2014,2014,1,04-02-2014,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Storage,229.94,2,0,6.8982
6387,30-01-2014,2014,1,04-02-2014,Standard Class,Consumer,Detroit,Michigan,Central,Office Supplies,Paper,10.56,2,0,4.752
3365,31-01-2014,2014,1,02-02-2014,First Class,Consumer,Mission Viejo,California,West,Furniture,Bookcases,290.666,2,0.15,3.4196
540,01-02-2014,2014,1,03-02-2014,First Class,Consumer,Green Bay,Wisconsin,Central,Technology,Accessories,468.9,6,0,206.316
9137,02-02-2014,2014,1,09-02-2014,Standard Class,Consumer,Saint Petersburg,Florida,South,Office Supplies,Binders,18.336,2,0.7,-12.224
9138,02-02-2014,2014,1,09-02-2014,Standard Class,Consumer,Saint Petersburg,Florida,South,Technology,Phones,180.96,5,0.2,13.572
1703,02-02-2014,2014,1,06-02-2014,Standard Class,Home Office,San Diego,California,West,Office Supplies,Fasteners,12.35,5,0,5.8045
1518,03-02-2014,2014,1,06-02-2014,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,13.272,3,0.2,4.3134
1517,03-02-2014,2014,1,06-02-2014,Second Class,Consumer,Seattle,Washington,West,Office Supplies,Binders,83.84,2,0.2,27.248
1543,04-02-2014,2014,1,08-02-2014,Standard Class,Home Office,San Diego,California,West,Office Supplies,Binders,82.896,3,0.2,29.0136
1544,04-02-2014,2014,1,08-02-2014,Standard Class,Home Office,San Diego,California,West,Office Supplies,Paper,34.24,4,0,16.0928
8584,04-02-2014,2014,1,08-02-2014,Second Class,Corporate,Escondido,California,West,Office Supplies,Binders,17.248,2,0.2,6.0368
1999,06-02-2014,2014,1,09-02-2014,First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,144.95,5,0,42.0355
1998,06-02-2014,2014,1,09-02-2014,First Class,Corporate,Chesapeake,Virginia,South,Technology,Phones,161.61,1,0,42.0186
1997,06-02-2014,2014,1,09-02-2014,First Class,Corporate,Chesapeake,Virginia,South,Office Supplies,Labels,15,4,0,7.2
8980,06-02-2014,2014,1,10-02-2014,Second Class,Consumer,Romeoville,Illinois,Central,Office Supplies,Binders,8.952,2,0.8,-14.7708
849,07-02-2014,2014,1,12-02-2014,Standard Class,Corporate,Linden,New Jersey,East,Technology,Accessories,115.36,7,0,49.6048
8735,07-02-2014,2014,1,10-02-2014,Second Class,Corporate,New York City,New York,East,Office Supplies,Storage,64.96,4,0,9.744
9266,08-02-2014,2014,1,09-02-2014,First Class,Home Office,North Las Vegas,Nevada,West,Furniture,Furnishings,14.56,2,0,5.5328
9259,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Storage,64.96,2,0,2.5984
9254,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Furniture,Chairs,60.89,1,0,15.2225
9255,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Labels,14.94,3,0,6.8724
9256,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,9.64,2,0,4.4344
9257,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Furniture,Furnishings,332.94,3,0,53.2704
5632,11-02-2014,2014,1,15-02-2014,Standard Class,Consumer,Chesapeake,Virginia,South,Office Supplies,Binders,17.46,2,0,8.2062
9258,11-02-2014,2014,1,15-02-2014,Second Class,Consumer,Columbia,Missouri,Central,Office Supplies,Binders,51.9,3,0,24.393
5631,11-02-2014,2014,1,15-02-2014,Standard Class,Consumer,Chesapeake,Virginia,South,Furniture,Tables,1256.22,6,0,75.3732
5630,11-02-2014,2014,1,15-02-2014,Standard Class,Consumer,Chesapeake,Virginia,South,Technology,Accessories,234.45,3,0,103.158
456,12-02-2014,2014,1,18-02-2014,Standard Class,Consumer,Concord,California,West,Furniture,Chairs,129.568,2,0.2,-24.294
9763,14-02-2014,2014,1,18-02-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Supplies,238.62,2,0,4.7724
9762,14-02-2014,2014,1,18-02-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Appliances,81.96,2,0,22.9488
9761,14-02-2014,2014,1,18-02-2014,Standard Class,Corporate,Seattle,Washington,West,Technology,Accessories,239.97,3,0,86.3892
5466,14-02-2014,2014,1,19-02-2014,Second Class,Consumer,Houston,Texas,Central,Office Supplies,Paper,16.176,3,0.2,6.066
7437,15-02-2014,2014,1,19-02-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Binders,21.36,5,0.2,7.209
1332,16-02-2014,2014,1,21-02-2014,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Binders,1.08,3,0.8,-1.728
1333,16-02-2014,2014,1,21-02-2014,Standard Class,Consumer,Dallas,Texas,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93
9515,17-02-2014,2014,1,24-02-2014,Standard Class,Consumer,Chicago,Illinois,Central,Office Supplies,Art,54.208,14,0.2,8.8088
8222,18-02-2014,2014,1,24-02-2014,Standard Class,Consumer,Arlington,Texas,Central,Office Supplies,Storage,12.624,2,0.2,-2.5248
6081,18-02-2014,2014,1,18-02-2014,Same Day,Consumer,Lubbock,Texas,Central,Furniture,Furnishings,25.16,5,0.6,-11.322
4520,20-02-2014,2014,1,26-02-2014,Standard Class,Corporate,Richmond,Indiana,Central,Technology,Accessories,62.31,3,0,22.4316
4521,20-02-2014,2014,1,26-02-2014,Standard Class,Corporate,Richmond,Indiana,Central,Furniture,Furnishings,20.32,4,0,6.9088
8503,20-02-2014,2014,1,24-02-2014,Standard Class,Home Office,Los Angeles,California,West,Office Supplies,Paper,12.96,2,0,6.2208
2882,21-02-2014,2014,1,25-02-2014,Standard Class,Consumer,Woodstock,Illinois,Central,Office Supplies,Binders,8.85,5,0.8,-13.7175
7610,22-02-2014,2014,1,24-02-2014,First Class,Consumer,Moreno Valley,California,West,Office Supplies,Paper,19.44,3,0,9.3312
6529,23-02-2014,2014,1,27-02-2014,Standard Class,Home Office,El Paso,Texas,Central,Office Supplies,Labels,6.936,3,0.2,2.3409
6530,23-02-2014,2014,1,27-02-2014,Standard Class,Home Office,El Paso,Texas,Central,Office Supplies,Binders,4.428,3,0.8,-6.8634
5511,24-02-2014,2014,1,02-03-2014,Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,32.896,4,0.2,11.1024
5512,24-02-2014,2014,1,02-03-2014,Standard Class,Consumer,Medford,Oregon,West,Office Supplies,Paper,22.776,3,0.2,7.6869
9463,27-02-2014,2014,1,03-03-2014,First Class,Consumer,Columbus,Ohio,East,Office Supplies,Art,19.456,4,0.2,3.4048
6547,01-03-2014,2014,1,05-03-2014,Standard Class,Home Office,Elmhurst,Illinois,Central,Furniture,Chairs,634.116,6,0.3,-172.1172
157,01-03-2014,2014,1,06-03-2014,Second Class,Consumer,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764
7948,01-03-2014,2014,1,05-03-2014,Standard Class,Consumer,El Paso,Texas,Central,Furniture,Chairs,362.25,6,0.3,0
7947,01-03-2014,2014,1,05-03-2014,Standard Class,Consumer,El Paso,Texas,Central,Office Supplies,Fasteners,18.84,5,0.2,-3.5325
5713,01-03-2014,2014,1,05-03-2014,Standard Class,Home Office,New York City,New York,East,Technology,Phones,5.94,3,0,1.6038
8310,01-03-2014,2014,1,07-03-2014,Standard Class,Consumer,Houston,Texas,Central,Furniture,Tables,376.509,3,0.3,-43.0296
8309,01-03-2014,2014,1,07-03-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Storage,137.352,3,0.2,8.5845
7950,01-03-2014,2014,1,05-03-2014,Standard Class,Consumer,El Paso,Texas,Central,Office Supplies,Storage,129.552,3,0.2,-22.6716
6548,01-03-2014,2014,1,05-03-2014,Standard Class,Home Office,Elmhurst,Illinois,Central,Office Supplies,Paper,17.472,3,0.2,5.6784
7949,01-03-2014,2014,1,05-03-2014,Standard Class,Consumer,El Paso,Texas,Central,Furniture,Furnishings,63.552,6,0.6,-34.9536
6058,02-03-2014,2014,1,08-03-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Paper,36.4,5,0,17.472
6057,02-03-2014,2014,1,08-03-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Envelopes,11.36,2,0,5.3392
9946,02-03-2014,2014,1,06-03-2014,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Technology,Accessories,151.2,3,0.2,32.13
9945,02-03-2014,2014,1,06-03-2014,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,3.424,1,0.2,1.07
555,03-03-2014,2014,1,07-03-2014,Second Class,Consumer,Wilmington,North Carolina,South,Office Supplies,Art,19.456,4,0.2,3.4048
7247,03-03-2014,2014,1,08-03-2014,Standard Class,Corporate,Columbus,Ohio,East,Furniture,Bookcases,302.45,5,0.5,-199.617
7348,03-03-2014,2014,1,07-03-2014,Standard Class,Consumer,Houston,Texas,Central,Office Supplies,Appliances,176.772,3,0.8,-459.6072
8711,03-03-2014,2014,1,07-03-2014,Standard Class,Consumer,San Diego,California,West,Furniture,Tables,626.352,3,0.2,-23.4882
1162,03-03-2014,2014,1,08-03-2014,Standard Class,Home Office,New York City,New York,East,Technology,Phones,9.99,1,0,4.5954
1163,03-03-2014,2014,1,08-03-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Binders,125.76,3,0.2,40.872
7246,03-03-2014,2014,1,08-03-2014,Standard Class,Corporate,Columbus,Ohio,East,Office Supplies,Labels,15.12,3,0.2,4.914
7248,03-03-2014,2014,1,08-03-2014,Standard Class,Corporate,Columbus,Ohio,East,Office Supplies,Storage,44.672,8,0.2,-10.0512
1164,03-03-2014,2014,1,08-03-2014,Standard Class,Home Office,New York City,New York,East,Office Supplies,Binders,25.32,5,0.2,9.1785
4421,04-03-2014,2014,1,09-03-2014,Standard Class,Consumer,Margate,Florida,South,Office Supplies,Art,15.552,3,0.2,2.3328
1564,04-03-2014,2014,1,04-03-2014,Same Day,Consumer,Columbia,South Carolina,South,Office Supplies,Storage,354.9,5,0,17.745
8500,05-03-2014,2014,1,08-03-2014,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Paper,97.82,2,0,45.9754
8496,05-03-2014,2014,1,08-03-2014,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Art,59.52,3,0,15.4752
8497,05-03-2014,2014,1,08-03-2014,Second Class,Consumer,Yonkers,New York,East,Technology,Accessories,479.97,3,0,177.5889
8498,05-03-2014,2014,1,08-03-2014,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Supplies,18.62,2,0,5.3998
8499,05-03-2014,2014,1,08-03-2014,Second Class,Consumer,Yonkers,New York,East,Office Supplies,Binders,49.632,6,0.2,16.7508
9643,07-03-2014,2014,1,12-03-2014,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,481.568,2,0.2,54.1764
9642,07-03-2014,2014,1,12-03-2014,Standard Class,Corporate,Seattle,Washington,West,Furniture,Chairs,436.704,6,0.2,21.8352
9641,07-03-2014,2014,1,12-03-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Storage,204.9,5,0,0
9640,07-03-2014,2014,1,12-03-2014,Standard Class,Corporate,Seattle,Washington,West,Office Supplies,Art,20.65,5,0,9.499
4961,07-03-2014,2014,1,08-03-2014,First Class,Consumer,Seattle,Washington,West,Furniture,Chairs,48.712,1,0.2,5.4801
5253,07-03-2014,2014,1,11-03-2014,Second Class,Home Office,Des Moines,Washington,West,Office Supplies,Binders,107.648,2,0.2,33.64
4962,07-03-2014,2014,1,08-03-2014,First Class,Consumer,Seattle,Washington,West,Office Supplies,Art,17.94,3,0,4.6644
4963,07-03-2014,2014,1,08-03-2014,First Class,Consumer,Seattle,Washington,West,Office Supplies,Storage,242.94,3,0,4.8588
2101,10-03-2014,2014,1,17-03-2014,Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Art,83.168,4,0.2,9.3564
2100,10-03-2014,2014,1,17-03-2014,Standard Class,Consumer,Denver,Colorado,West,Office Supplies,Storage,636.408,3,0.2,-15.9102
1171,10-03-2014,2014,1,14-03-2014,Standard Class,Consumer,Royal Oak,Michigan,Central,Office Supplies,Paper,22.38,2,0,10.7424
8299,11-03-2014,2014,1,15-03-2014,Standard Class,Consumer,Roseville,California,West,Office Supplies,Art,7.98,3,0,2.0748
7014,11-03-2014,2014,1,13-03-2014,Second Class,Corporate,Richmond,Kentucky,South,Office Supplies,Appliances,146.76,3,0,38.1576
1541,11-03-2014,2014,1,16-03-2014,Second Class,Consumer,Columbus,Ohio,East,Furniture,Furnishings,8.32,5,0.2,2.288
1542,11-03-2014,2014,1,16-03-2014,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,10.464,6,0.2,1.7004
7015,11-03-2014,2014,1,13-03-2014,Second Class,Corporate,Richmond,Kentucky,South,Technology,Accessories,32.96,2,0,14.1728
7017,11-03-2014,2014,1,13-03-2014,Second Class,Corporate,Richmond,Kentucky,South,Office Supplies,Paper,14.94,3,0,7.0218
3441,11-03-2014,2014,1,14-03-2014,Second Class,Consumer,New York City,New York,East,Office Supplies,Paper,108.92,14,0,49.014
7016,11-03-2014,2014,1,13-03-2014,Second Class,Corporate,Richmond,Kentucky,South,Technology,Phones,587.97,3,0,164.6316
2840,14-03-2014,2014,1,19-03-2014,Standard Class,Home Office,Chesapeake,Virginia,South,Furniture,Chairs,1139.92,4,0,284.98
1890,14-03-2014,2014,1,18-03-2014,Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Paper,10.56,2,0,4.752
9514,14-03-2014,2014,1,18-03-2014,Standard Class,Home Office,Jacksonville,Florida,South,Office Supplies,Paper,91.056,6,0.2,31.8696
4676,14-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Logan,Utah,West,Office Supplies,Binders,33.088,4,0.2,11.1672
4677,14-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Logan,Utah,West,Office Supplies,Storage,80.98,1,0,3.2392
4678,14-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Logan,Utah,West,Technology,Accessories,82.8,12,0,6.624
4679,14-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Logan,Utah,West,Office Supplies,Storage,21.36,2,0,5.7672
4680,14-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Logan,Utah,West,Office Supplies,Binders,62.048,2,0.2,20.1656
1891,14-03-2014,2014,1,18-03-2014,Standard Class,Corporate,Huntington Beach,California,West,Office Supplies,Art,3.38,1,0,1.2506
9405,14-03-2014,2014,1,17-03-2014,First Class,Home Office,Chicago,Illinois,Central,Technology,Machines,574.91,2,0.3,156.047
9406,14-03-2014,2014,1,17-03-2014,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,8.448,2,0.2,2.64
605,15-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Tampa,Florida,South,Office Supplies,Binders,43.188,4,0.7,-31.6712
602,15-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Tampa,Florida,South,Office Supplies,Storage,142.776,1,0.2,17.847
603,15-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Tampa,Florida,South,Furniture,Furnishings,45.696,3,0.2,5.1408
604,15-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Tampa,Florida,South,Office Supplies,Binders,7.218,3,0.7,-5.5338
606,15-03-2014,2014,1,19-03-2014,Standard Class,Consumer,Tampa,Florida,South,Office Supplies,Paper,131.904,3,0.2,47.8152
3452,16-03-2014,2014,1,21-03-2014,Second Class,Home Office,Raleigh,North Carolina,South,Technology,Phones,471.92,2,0.2,29.495
7427,17-03-2014,2014,1,21-03-2014,Standard Class,Corporate,Jackson,Mississippi,South,Office Supplies,Binders,11.43,3,0,5.3721
7428,17-03-2014,2014,1,21-03-2014,Standard Class,Corporate,Jackson,Mississippi,South,Office Supplies,Binders,30.44,2,0,14.9156
7429,17-03-2014,2014,1,21-03-2014,Standard Class,Corporate,Jackson,Mississippi,South,Office Supplies,Paper,12.96,2,0,6.3504
8010,17-03-2014,2014,1,20-03-2014,Second Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Paper,126.624,6,0.2,41.1528
2359,17-03-2014,2014,1,21-03-2014,Standard Class,Corporate,New York City,New York,East,Furniture,Tables,613.908,3,0.4,-122.7816
2360,17-03-2014,2014,1,21-03-2014,Standard Class,Corporate,New York City,New York,East,Office Supplies,Paper,34.86,7,0,16.3842
1349,17-03-2014,2014,1,24-03-2014,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,35.88,6,0,17.2224
1348,17-03-2014,2014,1,24-03-2014,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Binders,53.4,10,0,25.098
1347,17-03-2014,2014,1,24-03-2014,Standard Class,Consumer,Lakeville,Minnesota,Central,Office Supplies,Art,19.68,6,0,5.7072
